date,time,open,close,high,low,volume
2020-04-21,05:30:00,1410.0,1462.1,1485.0,1380.0,2588589
2020-04-22,05:30:00,1480.0,1434.45,1509.0,1401.1,2024664
2020-04-23,05:30:00,1440.0,1371.35,1448.95,1365.55,1486466
2020-04-24,05:30:00,1330.0,1302.8,1347.75,1302.8,911686
2020-04-27,05:30:00,1262.0,1267.65,1329.9,1240.85,1469187
2020-04-28,05:30:00,1280.0,1328.4,1331.0,1235.0,2002025
2020-04-29,05:30:00,1364.0,1319.0,1364.0,1305.55,1254301
2020-04-30,05:30:00,1340.0,1324.35,1344.95,1315.0,799185
2020-05-04,05:30:00,1270.1,1282.35,1304.0,1270.1,765849
2020-05-05,05:30:00,1305.0,1262.0,1309.8,1260.0,656951
2020-05-06,05:30:00,1264.0,1216.2,1268.9,1202.25,920936
2020-05-07,05:30:00,1219.4,1214.55,1248.95,1190.0,1023481
2020-05-08,05:30:00,1230.0,1241.5,1275.25,1222.0,1868132
2020-05-11,05:30:00,1303.55,1303.55,1303.55,1303.55,129360
2020-05-12,05:30:00,1368.7,1368.7,1368.7,1368.7,172092
2020-05-13,05:30:00,1437.1,1437.1,1437.1,1376.0,2268041
2020-05-14,05:30:00,1469.95,1389.2,1475.0,1382.65,3802256
2020-05-15,05:30:00,1342.0,1330.1,1377.4,1325.65,1285331
2020-05-18,05:30:00,1310.5,1263.6,1314.95,1263.6,862751
2020-05-19,05:30:00,1265.0,1269.9,1309.95,1245.65,1208900
2020-05-20,05:30:00,1333.35,1333.35,1333.35,1333.35,518570
2020-05-21,05:30:00,1400.0,1400.0,1400.0,1400.0,186571
2020-05-22,05:30:00,1449.0,1422.7,1460.0,1400.0,2602909
2020-05-26,05:30:00,1449.0,1377.75,1449.0,1373.0,1167876
2020-05-27,05:30:00,1347.0,1391.75,1414.9,1331.0,1205961
2020-05-28,05:30:00,1389.0,1381.3,1404.0,1362.0,720618
2020-05-29,05:30:00,1380.0,1410.35,1422.0,1366.35,1242472
2020-06-01,05:30:00,1450.0,1415.75,1450.0,1411.4,951508
2020-06-02,05:30:00,1422.0,1409.85,1425.0,1402.0,636146
2020-06-03,05:30:00,1415.0,1392.55,1421.65,1389.0,831499
2020-06-04,05:30:00,1397.5,1431.45,1439.9,1381.6,1851685
2020-06-05,05:30:00,1458.9,1456.2,1487.5,1436.0,2726540
2020-06-08,05:30:00,1470.0,1532.15,1595.0,1458.85,4335458
2020-06-09,05:30:00,1546.0,1493.4,1570.0,1472.0,1600239
2020-06-10,05:30:00,1496.0,1454.55,1506.85,1437.0,1120128
2020-06-11,05:30:00,1454.5,1433.35,1477.95,1425.55,859510
2020-06-12,05:30:00,1341.0,1425.25,1444.0,1341.0,1540126
2020-06-15,05:30:00,1425.0,1423.25,1449.0,1410.65,733722
2020-06-16,05:30:00,1445.0,1411.05,1452.75,1380.8,891268
2020-06-17,05:30:00,1390.0,1395.1,1417.8,1386.05,510679
2020-06-18,05:30:00,1400.0,1409.6,1427.7,1391.35,649132
2020-06-19,05:30:00,1420.0,1423.95,1446.0,1415.0,1500063
2020-06-22,05:30:00,1430.0,1416.4,1442.0,1412.1,769590
2020-06-23,05:30:00,1426.0,1450.8,1497.5,1418.0,2551183
2020-06-24,05:30:00,1461.95,1421.0,1479.0,1417.3,1125681
2020-06-25,05:30:00,1410.0,1412.35,1429.95,1392.0,689248
2020-06-26,05:30:00,1349.0,1382.25,1404.0,1340.0,1727846
2020-06-29,05:30:00,1370.0,1355.85,1370.0,1350.05,716802
